threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,30,30,0,0,1.0,0.4,0.6,0.38431372549019605,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 6, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 2}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 1}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 1}}"
0.1,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.2,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.3,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.4,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.5,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.6,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.7,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.8,30,25,5,0,0.8333333333333334,0.48,0.52,0.4217032967032967,"{'A': 7, 'C': 9, 'B': 7, 'unknown': 1, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 3, 'D': 0, 'unknown': 1}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 3, 'C': 1, 'D': 0, 'unknown': 0}}"
0.9,30,8,22,0,0.26666666666666666,0.75,0.25,0.6875,"{'C': 2, 'A': 4, 'B': 1, 'D': 1}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 0, 'B': 1, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 2, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
1.0,30,2,28,0,0.06666666666666667,1.0,0.0,0.5,"{'C': 1, 'A': 1}","{'A': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
