threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.4,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.5,60,60,0,0,1.0,0.48333333333333334,0.5166666666666666,0.47407547407547407,"{'maybe': 17, 'yes': 24, 'no': 19}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 8, 'maybe': 6, 'unknown': 0}}"
0.6,60,59,1,0,0.9833333333333333,0.4915254237288136,0.5084745762711864,0.48112706007442846,"{'maybe': 17, 'yes': 24, 'no': 18}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 9, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 7, 'maybe': 6, 'unknown': 0}}"
0.7,60,57,3,0,0.95,0.49122807017543857,0.5087719298245614,0.4787878787878788,"{'maybe': 16, 'yes': 24, 'no': 17}","{'yes': {'yes': 14, 'no': 2, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 4, 'no': 8, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 7, 'maybe': 6, 'unknown': 0}}"
0.8,60,31,29,0,0.5166666666666667,0.5483870967741935,0.4516129032258065,0.4160839160839161,"{'yes': 24, 'no': 5, 'maybe': 2}","{'yes': {'yes': 14, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 4, 'no': 2, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 3, 'maybe': 1, 'unknown': 0}}"
0.9,60,17,43,0,0.2833333333333333,0.5882352941176471,0.4117647058823529,0.4090909090909091,"{'yes': 14, 'no': 3}","{'yes': {'yes': 8, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 3, 'no': 2, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 3, 'no': 1, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,0,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
