threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,30,30,0,0,1.0,0.4666666666666667,0.5333333333333333,0.46515837104072394,"{'B': 7, 'C': 9, 'D': 7, 'A': 7}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 2, 'B': 3, 'C': 2, 'D': 3, 'unknown': 0}, 'C': {'A': 0, 'B': 1, 'C': 4, 'D': 1, 'unknown': 0}, 'D': {'A': 0, 'B': 2, 'C': 2, 'D': 2, 'unknown': 0}}"
0.1,30,30,0,0,1.0,0.4666666666666667,0.5333333333333333,0.46515837104072394,"{'B': 7, 'C': 9, 'D': 7, 'A': 7}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 2, 'B': 3, 'C': 2, 'D': 3, 'unknown': 0}, 'C': {'A': 0, 'B': 1, 'C': 4, 'D': 1, 'unknown': 0}, 'D': {'A': 0, 'B': 2, 'C': 2, 'D': 2, 'unknown': 0}}"
0.2,30,30,0,0,1.0,0.4666666666666667,0.5333333333333333,0.46515837104072394,"{'B': 7, 'C': 9, 'D': 7, 'A': 7}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 2, 'B': 3, 'C': 2, 'D': 3, 'unknown': 0}, 'C': {'A': 0, 'B': 1, 'C': 4, 'D': 1, 'unknown': 0}, 'D': {'A': 0, 'B': 2, 'C': 2, 'D': 2, 'unknown': 0}}"
0.3,30,28,2,0,0.9333333333333333,0.4642857142857143,0.5357142857142857,0.45476190476190476,"{'B': 6, 'C': 9, 'D': 6, 'A': 7}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 2, 'B': 2, 'C': 2, 'D': 2, 'unknown': 0}, 'C': {'A': 0, 'B': 1, 'C': 4, 'D': 1, 'unknown': 0}, 'D': {'A': 0, 'B': 2, 'C': 2, 'D': 2, 'unknown': 0}}"
0.4,30,13,17,0,0.43333333333333335,0.7692307692307693,0.23076923076923073,0.6388888888888888,"{'C': 4, 'D': 3, 'B': 1, 'A': 5}","{'A': {'A': 4, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 1, 'C': 0, 'D': 2, 'unknown': 0}}"
0.5,30,12,18,0,0.4,0.8333333333333334,0.16666666666666663,0.6722222222222223,"{'C': 4, 'D': 3, 'A': 5}","{'A': {'A': 4, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 2, 'unknown': 0}}"
0.6,30,12,18,0,0.4,0.8333333333333334,0.16666666666666663,0.6722222222222223,"{'C': 4, 'D': 3, 'A': 5}","{'A': {'A': 4, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 2, 'unknown': 0}}"
0.7,30,8,22,0,0.26666666666666666,1.0,0.0,0.75,"{'C': 3, 'A': 4, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}}"
0.8,30,6,24,0,0.2,1.0,0.0,0.75,"{'C': 3, 'A': 2, 'D': 1}","{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}}"
0.9,30,4,26,0,0.13333333333333333,1.0,0.0,0.5,"{'C': 2, 'A': 2}","{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 2, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
1.0,30,2,28,0,0.06666666666666667,1.0,0.0,0.25,{'A': 2},"{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
