threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,30,29,1,1,0.9666666666666667,0.4827586206896552,0.5172413793103448,0.4327731092436975,"{'A': 13, 'C': 7, 'B': 7, 'D': 2}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 4, 'B': 5, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 3, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.1,30,29,1,1,0.9666666666666667,0.4827586206896552,0.5172413793103448,0.4327731092436975,"{'A': 13, 'C': 7, 'B': 7, 'D': 2}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 4, 'B': 5, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 3, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.2,30,29,1,1,0.9666666666666667,0.4827586206896552,0.5172413793103448,0.4327731092436975,"{'A': 13, 'C': 7, 'B': 7, 'D': 2}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 4, 'B': 5, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 3, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.3,30,29,1,1,0.9666666666666667,0.4827586206896552,0.5172413793103448,0.4327731092436975,"{'A': 13, 'C': 7, 'B': 7, 'D': 2}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 4, 'B': 5, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 3, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.4,30,25,5,1,0.8333333333333334,0.48,0.52,0.42443609022556394,"{'A': 11, 'C': 6, 'B': 6, 'D': 2}","{'A': {'A': 5, 'B': 1, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 2, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.5,30,23,7,1,0.7666666666666667,0.5217391304347826,0.4782608695652174,0.4675716440422323,"{'A': 10, 'C': 6, 'B': 5, 'D': 2}","{'A': {'A': 5, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 2, 'B': 1, 'C': 2, 'D': 0, 'unknown': 0}}"
0.6,30,22,8,1,0.7333333333333333,0.5454545454545454,0.4545454545454546,0.48840497737556565,"{'A': 10, 'C': 5, 'B': 5, 'D': 2}","{'A': {'A': 5, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 2, 'B': 1, 'C': 1, 'D': 0, 'unknown': 0}}"
0.7,30,22,8,1,0.7333333333333333,0.5454545454545454,0.4545454545454546,0.48840497737556565,"{'A': 10, 'C': 5, 'B': 5, 'D': 2}","{'A': {'A': 5, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 2, 'B': 1, 'C': 1, 'D': 0, 'unknown': 0}}"
0.8,30,19,11,1,0.6333333333333333,0.5789473684210527,0.42105263157894735,0.5142857142857142,"{'C': 4, 'A': 9, 'B': 5, 'D': 1}","{'A': {'A': 4, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 2, 'B': 1, 'C': 0, 'D': 0, 'unknown': 0}}"
0.9,30,5,25,1,0.16666666666666666,0.6,0.4,0.3333333333333333,"{'C': 2, 'A': 3}","{'A': {'A': 2, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
1.0,30,4,26,1,0.13333333333333333,0.5,0.5,0.29166666666666663,"{'C': 2, 'A': 2}","{'A': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
