threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,59,1,1,0.9833333333333333,0.4745762711864407,0.5254237288135593,0.4746133496133496,"{'A': 25, 'D': 6, 'B': 11, 'C': 13, 'unknown': 4}","{'A': {'A': 10, 'B': 1, 'C': 1, 'D': 2, 'unknown': 1}, 'B': {'A': 5, 'B': 8, 'C': 0, 'D': 1, 'unknown': 1}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 1, 'unknown': 1}, 'D': {'A': 6, 'B': 2, 'C': 4, 'D': 2, 'unknown': 1}}"
0.1,60,55,5,1,0.9166666666666666,0.509090909090909,0.49090909090909096,0.49205128205128207,"{'A': 25, 'D': 6, 'B': 11, 'C': 13}","{'A': {'A': 10, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 5, 'B': 8, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 1, 'unknown': 0}, 'D': {'A': 6, 'B': 2, 'C': 4, 'D': 2, 'unknown': 0}}"
0.2,60,55,5,1,0.9166666666666666,0.509090909090909,0.49090909090909096,0.49205128205128207,"{'A': 25, 'D': 6, 'B': 11, 'C': 13}","{'A': {'A': 10, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 5, 'B': 8, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 1, 'unknown': 0}, 'D': {'A': 6, 'B': 2, 'C': 4, 'D': 2, 'unknown': 0}}"
0.3,60,55,5,1,0.9166666666666666,0.509090909090909,0.49090909090909096,0.49205128205128207,"{'A': 25, 'D': 6, 'B': 11, 'C': 13}","{'A': {'A': 10, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 5, 'B': 8, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 1, 'unknown': 0}, 'D': {'A': 6, 'B': 2, 'C': 4, 'D': 2, 'unknown': 0}}"
0.4,60,48,12,1,0.8,0.5208333333333334,0.47916666666666663,0.5005866114561767,"{'A': 21, 'D': 6, 'B': 9, 'C': 12}","{'A': {'A': 10, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 4, 'B': 6, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 3, 'B': 0, 'C': 7, 'D': 1, 'unknown': 0}, 'D': {'A': 4, 'B': 2, 'C': 4, 'D': 2, 'unknown': 0}}"
0.5,60,44,16,1,0.7333333333333333,0.5681818181818182,0.43181818181818177,0.5473484848484849,"{'A': 20, 'D': 5, 'B': 7, 'C': 12}","{'A': {'A': 10, 'B': 0, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 4, 'B': 6, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 2, 'B': 0, 'C': 7, 'D': 0, 'unknown': 0}, 'D': {'A': 4, 'B': 1, 'C': 4, 'D': 2, 'unknown': 0}}"
0.6,60,43,17,1,0.7166666666666667,0.5813953488372093,0.41860465116279066,0.5598484848484848,"{'A': 20, 'D': 5, 'B': 7, 'C': 11}","{'A': {'A': 10, 'B': 0, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 4, 'B': 6, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 2, 'B': 0, 'C': 7, 'D': 0, 'unknown': 0}, 'D': {'A': 4, 'B': 1, 'C': 3, 'D': 2, 'unknown': 0}}"
0.7,60,43,17,1,0.7166666666666667,0.5813953488372093,0.41860465116279066,0.5598484848484848,"{'A': 20, 'D': 5, 'B': 7, 'C': 11}","{'A': {'A': 10, 'B': 0, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 4, 'B': 6, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 2, 'B': 0, 'C': 7, 'D': 0, 'unknown': 0}, 'D': {'A': 4, 'B': 1, 'C': 3, 'D': 2, 'unknown': 0}}"
0.8,60,39,21,1,0.65,0.5897435897435898,0.41025641025641024,0.5755352259569191,"{'D': 4, 'B': 7, 'C': 10, 'A': 18}","{'A': {'A': 8, 'B': 0, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 4, 'B': 6, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 2, 'B': 0, 'C': 7, 'D': 0, 'unknown': 0}, 'D': {'A': 4, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}}"
0.9,60,9,51,1,0.15,0.6666666666666666,0.33333333333333337,0.5833333333333333,"{'B': 1, 'A': 5, 'C': 3}","{'A': {'A': 3, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 1, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 2, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
1.0,60,7,53,1,0.11666666666666667,0.5714285714285714,0.4285714285714286,0.5166666666666666,"{'B': 1, 'C': 3, 'A': 3}","{'A': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 1, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 2, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
