threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.4,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.5,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.6,60,60,0,0,1.0,0.5,0.5,0.4625220458553792,"{'maybe': 34, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 7, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 13, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 14, 'unknown': 0}}"
0.7,60,53,7,0,0.8833333333333333,0.5471698113207547,0.4528301886792453,0.5050510688173243,"{'maybe': 27, 'yes': 22, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 6, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 13, 'unknown': 0}}"
0.8,60,31,29,0,0.5166666666666667,0.5806451612903226,0.4193548387096774,0.49715099715099714,"{'yes': 22, 'maybe': 5, 'no': 4}","{'yes': {'yes': 13, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 2, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 2, 'unknown': 0}}"
0.9,60,22,38,0,0.36666666666666664,0.5909090909090909,0.40909090909090906,0.41991341991341996,"{'yes': 18, 'no': 4}","{'yes': {'yes': 10, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 4, 'no': 3, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 4, 'no': 1, 'maybe': 0, 'unknown': 0}}"
1.0,60,0,60,0,0.0,,,,{},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}}"
