threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5928030303030303,"{'maybe': 24, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 6, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 10, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5928030303030303,"{'maybe': 24, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 6, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 10, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5928030303030303,"{'maybe': 24, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 6, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 10, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5928030303030303,"{'maybe': 24, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 6, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 10, 'unknown': 0}}"
0.4,60,57,3,0,0.95,0.5964912280701754,0.4035087719298246,0.6036134033508377,"{'maybe': 21, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 9, 'unknown': 0}}"
0.5,60,57,3,0,0.95,0.5964912280701754,0.4035087719298246,0.6036134033508377,"{'maybe': 21, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 9, 'unknown': 0}}"
0.6,60,55,5,0,0.9166666666666666,0.6,0.4,0.60564285215448,"{'maybe': 19, 'yes': 24, 'no': 12}","{'yes': {'yes': 14, 'no': 0, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 8, 'unknown': 0}}"
0.7,60,46,14,0,0.7666666666666667,0.6304347826086957,0.3695652173913043,0.6063492063492063,"{'yes': 24, 'no': 12, 'maybe': 10}","{'yes': {'yes': 14, 'no': 0, 'maybe': 2, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 4, 'unknown': 0}}"
0.8,60,37,23,0,0.6166666666666667,0.6756756756756757,0.32432432432432434,0.5448717948717948,"{'yes': 24, 'no': 12, 'maybe': 1}","{'yes': {'yes': 14, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 9, 'no': 1, 'maybe': 0, 'unknown': 0}}"
0.9,60,33,27,0,0.55,0.7272727272727273,0.2727272727272727,0.5604575163398692,"{'yes': 21, 'no': 12}","{'yes': {'yes': 13, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 1, 'no': 11, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 1, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,0,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
