threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,30,30,0,0,1.0,0.5666666666666667,0.43333333333333335,0.5220588235294118,"{'A': 10, 'C': 11, 'D': 3, 'B': 6}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.1,30,30,0,0,1.0,0.5666666666666667,0.43333333333333335,0.5220588235294118,"{'A': 10, 'C': 11, 'D': 3, 'B': 6}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.2,30,30,0,0,1.0,0.5666666666666667,0.43333333333333335,0.5220588235294118,"{'A': 10, 'C': 11, 'D': 3, 'B': 6}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.3,30,30,0,0,1.0,0.5666666666666667,0.43333333333333335,0.5220588235294118,"{'A': 10, 'C': 11, 'D': 3, 'B': 6}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.4,30,30,0,0,1.0,0.5666666666666667,0.43333333333333335,0.5220588235294118,"{'A': 10, 'C': 11, 'D': 3, 'B': 6}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 4, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.5,30,29,1,0,0.9666666666666667,0.5517241379310345,0.4482758620689655,0.5042016806722689,"{'A': 10, 'C': 11, 'D': 3, 'B': 5}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 3, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.6,30,28,2,0,0.9333333333333333,0.5714285714285714,0.4285714285714286,0.5216346153846154,"{'A': 10, 'C': 10, 'D': 3, 'B': 5}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 3, 'C': 3, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.7,30,27,3,0,0.9,0.5555555555555556,0.4444444444444444,0.514690170940171,"{'C': 10, 'D': 3, 'A': 9, 'B': 5}","{'A': {'A': 6, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 3, 'C': 3, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}}"
0.8,30,22,8,0,0.7333333333333333,0.5909090909090909,0.40909090909090906,0.5402777777777777,"{'C': 8, 'D': 3, 'A': 8, 'B': 3}","{'A': {'A': 6, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 1, 'B': 2, 'C': 2, 'D': 1, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 1, 'C': 2, 'D': 1, 'unknown': 0}}"
0.9,30,5,25,0,0.16666666666666666,0.6,0.4,0.21428571428571427,"{'A': 4, 'C': 1}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}}"
1.0,30,5,25,0,0.16666666666666666,0.6,0.4,0.21428571428571427,"{'A': 4, 'C': 1}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}}"
