threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.4,0.6,0.4017927871586408,"{'maybe': 21, 'yes': 19, 'no': 20}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.4,0.6,0.4017927871586408,"{'maybe': 21, 'yes': 19, 'no': 20}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.4,0.6,0.4017927871586408,"{'maybe': 21, 'yes': 19, 'no': 20}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.4,0.6,0.4017927871586408,"{'maybe': 21, 'yes': 19, 'no': 20}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 12, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.4,60,58,2,0,0.9666666666666667,0.39655172413793105,0.603448275862069,0.4016170016170016,"{'maybe': 20, 'yes': 19, 'no': 19}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.5,60,58,2,0,0.9666666666666667,0.39655172413793105,0.603448275862069,0.4016170016170016,"{'maybe': 20, 'yes': 19, 'no': 19}","{'yes': {'yes': 8, 'no': 0, 'maybe': 12, 'unknown': 0}, 'no': {'yes': 3, 'no': 11, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 8, 'maybe': 4, 'unknown': 0}}"
0.6,60,54,6,0,0.9,0.3888888888888889,0.6111111111111112,0.3980263157894737,"{'yes': 19, 'no': 16, 'maybe': 19}","{'yes': {'yes': 8, 'no': 0, 'maybe': 11, 'unknown': 0}, 'no': {'yes': 3, 'no': 9, 'maybe': 4, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 7, 'maybe': 4, 'unknown': 0}}"
0.7,60,52,8,0,0.8666666666666667,0.40384615384615385,0.5961538461538461,0.4144249512670566,"{'yes': 19, 'no': 15, 'maybe': 18}","{'yes': {'yes': 8, 'no': 0, 'maybe': 11, 'unknown': 0}, 'no': {'yes': 3, 'no': 9, 'maybe': 3, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 6, 'maybe': 4, 'unknown': 0}}"
0.8,60,29,31,0,0.48333333333333334,0.5517241379310345,0.4482758620689655,0.4987004548408058,"{'yes': 18, 'no': 8, 'maybe': 3}","{'yes': {'yes': 8, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 7, 'maybe': 1, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 1, 'maybe': 1, 'unknown': 0}}"
0.9,60,23,37,0,0.38333333333333336,0.6086956521739131,0.3913043478260869,0.47222222222222215,"{'yes': 16, 'no': 7}","{'yes': {'yes': 8, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 3, 'no': 6, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 5, 'no': 1, 'maybe': 0, 'unknown': 0}}"
1.0,60,5,55,0,0.08333333333333333,0.8,0.19999999999999996,0.6190476190476191,"{'yes': 1, 'no': 4}","{'yes': {'yes': 1, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 3, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
