threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.36666666666666664,0.6333333333333333,0.371361872422993,"{'A': 17, 'B': 16, 'C': 13, 'unknown': 10, 'D': 4}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 2}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 4}, 'C': {'A': 5, 'B': 2, 'C': 6, 'D': 1, 'unknown': 1}, 'D': {'A': 3, 'B': 6, 'C': 2, 'D': 1, 'unknown': 3}}"
0.1,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.2,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.3,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.4,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.5,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.6,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.7,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.8,60,49,11,0,0.8166666666666667,0.4489795918367347,0.5510204081632653,0.4221711366538953,"{'A': 14, 'B': 16, 'C': 13, 'D': 4, 'unknown': 2}","{'A': {'A': 8, 'B': 1, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 1, 'B': 7, 'C': 3, 'D': 0, 'unknown': 2}, 'C': {'A': 3, 'B': 2, 'C': 6, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 2, 'D': 1, 'unknown': 0}}"
0.9,60,14,46,0,0.23333333333333334,0.6428571428571429,0.3571428571428571,0.625,"{'B': 5, 'C': 2, 'A': 4, 'D': 3}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}, 'B': {'A': 0, 'B': 3, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 1, 'C': 2, 'D': 1, 'unknown': 0}, 'D': {'A': 1, 'B': 1, 'C': 0, 'D': 1, 'unknown': 0}}"
