threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5080421698712855,"{'A': 17, 'B': 14, 'C': 16, 'D': 13}","{'A': {'A': 11, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 2, 'D': 4, 'unknown': 0}, 'C': {'A': 1, 'B': 1, 'C': 10, 'D': 3, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 3, 'D': 4, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5080421698712855,"{'A': 17, 'B': 14, 'C': 16, 'D': 13}","{'A': {'A': 11, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 2, 'D': 4, 'unknown': 0}, 'C': {'A': 1, 'B': 1, 'C': 10, 'D': 3, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 3, 'D': 4, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5080421698712855,"{'A': 17, 'B': 14, 'C': 16, 'D': 13}","{'A': {'A': 11, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 2, 'D': 4, 'unknown': 0}, 'C': {'A': 1, 'B': 1, 'C': 10, 'D': 3, 'unknown': 0}, 'D': {'A': 2, 'B': 6, 'C': 3, 'D': 4, 'unknown': 0}}"
0.3,60,54,6,0,0.9,0.5555555555555556,0.4444444444444444,0.537333147942158,"{'A': 16, 'B': 12, 'C': 16, 'D': 10}","{'A': {'A': 11, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}, 'B': {'A': 2, 'B': 5, 'C': 2, 'D': 3, 'unknown': 0}, 'C': {'A': 1, 'B': 1, 'C': 10, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 5, 'C': 3, 'D': 4, 'unknown': 0}}"
0.4,60,25,35,0,0.4166666666666667,0.72,0.28,0.660923141186299,"{'C': 7, 'B': 4, 'D': 3, 'A': 11}","{'A': {'A': 8, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 2, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 6, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 2, 'C': 1, 'D': 2, 'unknown': 0}}"
0.5,60,21,39,0,0.35,0.7619047619047619,0.23809523809523814,0.7127976190476191,"{'C': 6, 'B': 3, 'D': 3, 'A': 9}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 2, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}}"
0.6,60,21,39,0,0.35,0.7619047619047619,0.23809523809523814,0.7127976190476191,"{'C': 6, 'B': 3, 'D': 3, 'A': 9}","{'A': {'A': 7, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 2, 'C': 0, 'D': 1, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 5, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 1, 'C': 1, 'D': 2, 'unknown': 0}}"
0.7,60,14,46,0,0.23333333333333334,0.8571428571428571,0.1428571428571429,0.8439393939393939,"{'C': 5, 'B': 2, 'A': 6, 'D': 1}","{'A': {'A': 5, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 2, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 4, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}}"
0.8,60,7,53,0,0.11666666666666667,1.0,0.0,1.0,"{'C': 3, 'B': 1, 'A': 2, 'D': 1}","{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 1, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 3, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 1, 'unknown': 0}}"
0.9,60,4,56,0,0.06666666666666667,1.0,0.0,0.5,"{'C': 2, 'A': 2}","{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 2, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
1.0,60,2,58,0,0.03333333333333333,1.0,0.0,0.25,{'A': 2},"{'A': {'A': 2, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'D': {'A': 0, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}}"
