threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5227323353826961,"{'maybe': 28, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 9, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 11, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5227323353826961,"{'maybe': 28, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 9, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 11, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5166666666666667,0.4833333333333333,0.5227323353826961,"{'maybe': 28, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 9, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 11, 'unknown': 0}}"
0.3,60,58,2,0,0.9666666666666667,0.5172413793103449,0.48275862068965514,0.5246708502522456,"{'maybe': 26, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 8, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 10, 'unknown': 0}}"
0.4,60,54,6,0,0.9,0.5185185185185185,0.4814814814814815,0.5279268535082489,"{'maybe': 22, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 8, 'unknown': 0}}"
0.5,60,54,6,0,0.9,0.5185185185185185,0.4814814814814815,0.5279268535082489,"{'maybe': 22, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 8, 'unknown': 0}}"
0.6,60,52,8,0,0.8666666666666667,0.5192307692307693,0.4807692307692307,0.5290094745908699,"{'maybe': 20, 'yes': 23, 'no': 9}","{'yes': {'yes': 12, 'no': 0, 'maybe': 8, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 7, 'unknown': 0}}"
0.7,60,38,22,0,0.6333333333333333,0.5526315789473685,0.4473684210526315,0.4946172248803828,"{'yes': 23, 'no': 9, 'maybe': 6}","{'yes': {'yes': 12, 'no': 0, 'maybe': 3, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 2, 'unknown': 0}, 'maybe': {'yes': 8, 'no': 1, 'maybe': 1, 'unknown': 0}}"
0.8,60,33,27,0,0.55,0.6060606060606061,0.3939393939393939,0.48253968253968255,"{'yes': 22, 'no': 9, 'maybe': 2}","{'yes': {'yes': 12, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 8, 'maybe': 1, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 1, 'maybe': 0, 'unknown': 0}}"
0.9,60,28,32,0,0.4666666666666667,0.6785714285714286,0.3214285714285714,0.5195402298850574,"{'yes': 17, 'no': 9, 'maybe': 2}","{'yes': {'yes': 11, 'no': 0, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 2, 'no': 8, 'maybe': 1, 'unknown': 0}, 'maybe': {'yes': 4, 'no': 1, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,0,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
