threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5846840498003288,"{'maybe': 23, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 11, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5846840498003288,"{'maybe': 23, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 11, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5833333333333334,0.41666666666666663,0.5846840498003288,"{'maybe': 23, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 11, 'unknown': 0}}"
0.3,60,59,1,0,0.9833333333333333,0.5932203389830508,0.4067796610169492,0.59505772005772,"{'maybe': 22, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 11, 'unknown': 0}}"
0.4,60,58,2,0,0.9666666666666667,0.5862068965517241,0.4137931034482759,0.587121212121212,"{'maybe': 21, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 10, 'unknown': 0}}"
0.5,60,58,2,0,0.9666666666666667,0.5862068965517241,0.4137931034482759,0.587121212121212,"{'maybe': 21, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 5, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 10, 'unknown': 0}}"
0.6,60,56,4,0,0.9333333333333333,0.5892857142857143,0.4107142857142857,0.5875497590613871,"{'maybe': 19, 'yes': 24, 'no': 13}","{'yes': {'yes': 14, 'no': 1, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 6, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 9, 'unknown': 0}}"
0.7,60,41,19,0,0.6833333333333333,0.6341463414634146,0.36585365853658536,0.5691358024691358,"{'yes': 24, 'no': 13, 'maybe': 4}","{'yes': {'yes': 14, 'no': 1, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 1, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 2, 'unknown': 0}}"
0.8,60,38,22,0,0.6333333333333333,0.631578947368421,0.368421052631579,0.4897435897435898,"{'yes': 24, 'no': 13, 'maybe': 1}","{'yes': {'yes': 14, 'no': 1, 'maybe': 1, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 2, 'maybe': 0, 'unknown': 0}}"
0.9,60,32,28,0,0.5333333333333333,0.6875,0.3125,0.5276292335115865,"{'yes': 21, 'no': 11}","{'yes': {'yes': 13, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 2, 'no': 9, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 2, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,0,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
