threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,59,1,1,0.9833333333333333,0.5084745762711864,0.4915254237288136,0.5120588235294118,"{'A': 19, 'D': 11, 'C': 17, 'B': 10, 'unknown': 2}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 4, 'D': 1, 'unknown': 1}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 1}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 6, 'unknown': 0}}"
0.1,60,57,3,1,0.95,0.5263157894736842,0.4736842105263158,0.5210910815939279,"{'A': 19, 'D': 11, 'C': 17, 'B': 10}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 6, 'unknown': 0}}"
0.2,60,57,3,1,0.95,0.5263157894736842,0.4736842105263158,0.5210910815939279,"{'A': 19, 'D': 11, 'C': 17, 'B': 10}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 6, 'unknown': 0}}"
0.3,60,57,3,1,0.95,0.5263157894736842,0.4736842105263158,0.5210910815939279,"{'A': 19, 'D': 11, 'C': 17, 'B': 10}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 6, 'unknown': 0}}"
0.4,60,56,4,1,0.9333333333333333,0.5178571428571429,0.4821428571428571,0.509786733767841,"{'A': 19, 'D': 10, 'C': 17, 'B': 10}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 6, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 5, 'unknown': 0}}"
0.5,60,55,5,1,0.9166666666666666,0.509090909090909,0.49090909090909096,0.49842309740420454,"{'A': 19, 'D': 10, 'C': 17, 'B': 9}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 5, 'C': 4, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 5, 'unknown': 0}}"
0.6,60,54,6,1,0.9,0.5185185185185185,0.4814814814814815,0.5081354280842773,"{'A': 19, 'D': 10, 'C': 16, 'B': 9}","{'A': {'A': 10, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 5, 'C': 3, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 2, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 5, 'unknown': 0}}"
0.7,60,52,8,1,0.8666666666666667,0.5192307692307693,0.4807692307692307,0.5112400171667413,"{'A': 18, 'D': 9, 'C': 16, 'B': 9}","{'A': {'A': 9, 'B': 0, 'C': 3, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 5, 'C': 3, 'D': 1, 'unknown': 0}, 'C': {'A': 4, 'B': 0, 'C': 8, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 4, 'C': 2, 'D': 5, 'unknown': 0}}"
0.8,60,44,16,1,0.7333333333333333,0.5454545454545454,0.4545454545454546,0.5319444444444446,"{'A': 17, 'D': 8, 'C': 13, 'B': 6}","{'A': {'A': 9, 'B': 0, 'C': 2, 'D': 2, 'unknown': 0}, 'B': {'A': 3, 'B': 4, 'C': 2, 'D': 1, 'unknown': 0}, 'C': {'A': 3, 'B': 0, 'C': 7, 'D': 1, 'unknown': 0}, 'D': {'A': 2, 'B': 2, 'C': 2, 'D': 4, 'unknown': 0}}"
0.9,60,9,51,1,0.15,0.5555555555555556,0.4444444444444444,0.41666666666666663,"{'A': 6, 'C': 2, 'D': 1}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}}"
1.0,60,9,51,1,0.15,0.5555555555555556,0.4444444444444444,0.41666666666666663,"{'A': 6, 'C': 2, 'D': 1}","{'A': {'A': 3, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'B': {'A': 1, 'B': 0, 'C': 0, 'D': 0, 'unknown': 0}, 'C': {'A': 1, 'B': 0, 'C': 1, 'D': 0, 'unknown': 0}, 'D': {'A': 1, 'B': 0, 'C': 1, 'D': 1, 'unknown': 0}}"
