threshold,total_count,answered_count,abstained_count,missing_confidence_count,coverage,accuracy_answered,error_rate_answered,macro_f1_answered,prediction_counts_answered,confusion_answered
0.0,60,60,0,0,1.0,0.5333333333333333,0.4666666666666667,0.5272187822497421,"{'maybe': 18, 'yes': 28, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.1,60,60,0,0,1.0,0.5333333333333333,0.4666666666666667,0.5272187822497421,"{'maybe': 18, 'yes': 28, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.2,60,60,0,0,1.0,0.5333333333333333,0.4666666666666667,0.5272187822497421,"{'maybe': 18, 'yes': 28, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.3,60,60,0,0,1.0,0.5333333333333333,0.4666666666666667,0.5272187822497421,"{'maybe': 18, 'yes': 28, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 4, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 7, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 7, 'unknown': 0}}"
0.4,60,54,6,0,0.9,0.5370370370370371,0.4629629629629629,0.5130533137686476,"{'yes': 28, 'maybe': 12, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 3, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.5,60,54,6,0,0.9,0.5370370370370371,0.4629629629629629,0.5130533137686476,"{'yes': 28, 'maybe': 12, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 3, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.6,60,53,7,0,0.8833333333333333,0.5471698113207547,0.4528301886792453,0.5209627329192547,"{'yes': 28, 'maybe': 11, 'no': 14}","{'yes': {'yes': 15, 'no': 1, 'maybe': 2, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 5, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 4, 'unknown': 0}}"
0.7,60,44,16,0,0.7333333333333333,0.5909090909090909,0.40909090909090906,0.5070346320346321,"{'yes': 28, 'no': 14, 'maybe': 2}","{'yes': {'yes': 15, 'no': 1, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 3, 'no': 10, 'maybe': 1, 'unknown': 0}, 'maybe': {'yes': 10, 'no': 3, 'maybe': 1, 'unknown': 0}}"
0.8,60,37,23,0,0.6166666666666667,0.6756756756756757,0.32432432432432434,0.5230769230769231,"{'yes': 24, 'no': 13}","{'yes': {'yes': 15, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 2, 'no': 10, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 7, 'no': 3, 'maybe': 0, 'unknown': 0}}"
0.9,60,30,30,0,0.5,0.7,0.30000000000000004,0.5427286356821589,"{'yes': 18, 'no': 12}","{'yes': {'yes': 11, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 1, 'no': 10, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 6, 'no': 2, 'maybe': 0, 'unknown': 0}}"
1.0,60,1,59,0,0.016666666666666666,0.0,1.0,0.0,{'no': 1},"{'yes': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'no': {'yes': 0, 'no': 0, 'maybe': 0, 'unknown': 0}, 'maybe': {'yes': 0, 'no': 1, 'maybe': 0, 'unknown': 0}}"
